backbone,method,split_index,setting,analysis_unit,attribute,metric,gap_max_minus_min,eligible_groups,patient_outcome_aggregation,patient_score_aggregation
vits16,joint_erased,0,internal_test,patient,sex,ppv,0.07262546267492014,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,age_group,auroc,0.14171890082539884,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,age_group,auprc,0.33016643169025894,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,age_group,brier,0.0322555766126944,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,age_group,ece,0.013039073715599675,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,age_group,sensitivity,0.024390243902439046,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,age_group,fpr,0.36029573497378264,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,age_group,fnr,0.024390243902439046,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,age_group,ppv,0.025587763195165703,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex_age,auroc,0.18270779140344362,4,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex_age,auprc,0.4259507932805605,4,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex_age,brier,0.03521223813452265,4,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex_age,ece,0.014417159686938793,4,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex_age,sensitivity,0.0714285714285714,4,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex_age,fpr,0.31763773983453614,4,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex_age,fnr,0.0714285714285714,4,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex_age,ppv,0.1113527620704654,4,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex,auroc,0.0007521486822839041,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex,auprc,0.06818098766379899,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex,brier,0.01721840088219917,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex,ece,0.03216637712059614,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex,sensitivity,0.0219780219780219,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex,fpr,0.022718924478401403,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex,fnr,0.0219780219780219,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex,ppv,0.04961517839426166,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,age_group,auroc,0.09761812471622944,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,age_group,auprc,0.3039012229346273,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,age_group,brier,0.014530822090569218,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,age_group,ece,0.03593983937194993,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,age_group,sensitivity,0.02250130821559393,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,age_group,fpr,0.1905002089608162,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,age_group,fnr,0.02250130821559393,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,age_group,ppv,0.11903289795708066,3,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex_age,auroc,0.22217315354570255,6,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex_age,auprc,0.48069046059500203,6,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex_age,brier,0.07667854909669218,6,max_image_outcome,max_calibrated_image_probability
