backbone,direction,source,target,attribute,split_index,scheme,confidence_fraction,round,auroc,source_auroc,target_local_auroc,best_C,n_target_unlabelled,n_target_labelled,coordinate_space
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,5,0.684524357140199,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,6,0.6835458281820475,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,7,0.6828948538137434,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,8,0.6827888992718596,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,9,0.6844875314762516,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,10,0.6848599229271157,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,0,0.6350760905964461,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,1,0.6288091808367573,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,2,0.6211762016892484,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,3,0.6171710138148417,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,4,0.6142182840680164,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,5,0.6149810504382585,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
