backbone,direction,source,target,attribute,k,method,n_draws,mean_auroc,mean_source_auroc,mean_target_local_auroc,mean_gain_over_source,gain_draw_p2_5,gain_draw_p97_5,share_of_ceiling_gap_recovered,anchored_minus_scratch
vits16,mbrset_to_brset,mbrset,brset,age65,200,anchored,100,0.8617678250720635,0.6684158807586268,0.9143583607338733,0.19335194431343666,0.14572996677493563,0.24696668869264563,0.7861673360897112,-0.004287144327657695
vits16,mbrset_to_brset,mbrset,brset,sex,10,scratch,100,0.5291325478002544,0.5963107347831086,0.7613360842313286,-0.06717818698285423,-0.13533742234955104,0.005439641224544605,-0.4070779865485619,
vits16,mbrset_to_brset,mbrset,brset,sex,10,anchored,100,0.5936058370750856,0.5963107347831086,0.7613360842313286,-0.002704897708022963,-0.05255979366744518,0.053051573021393926,-0.016390801274271373,0.06447328927483126
vits16,mbrset_to_brset,mbrset,brset,sex,20,scratch,100,0.5418609502759737,0.5963267298501964,0.761309598592545,-0.05446577957422282,-0.12933029849094402,0.015142877819148243,-0.3301299097864595,
vits16,mbrset_to_brset,mbrset,brset,sex,20,anchored,100,0.5962492775022222,0.5963267298501964,0.761309598592545,-7.745234797415179e-05,-0.060845104917815224,0.05331001585333057,-0.00046945691128154674,0.05438832722624867
vits16,mbrset_to_brset,mbrset,brset,sex,50,scratch,100,0.5637153478430321,0.5964152942289077,0.7613556191463229,-0.03269994638587554,-0.10267212129283604,0.016709384703244415,-0.19825319491912138,
vits16,mbrset_to_brset,mbrset,brset,sex,50,anchored,100,0.60164148656465,0.5964152942289077,0.7613556191463229,0.005226192335742254,-0.047731922411707504,0.05093031751817013,0.031685352495570626,0.037926138721617784
vits16,mbrset_to_brset,mbrset,brset,sex,100,scratch,100,0.5979209581343453,0.5962291230619617,0.7613594989642408,0.0016918350723836573,-0.05897885323404575,0.05619897301099514,0.010245450379068063,
vits16,mbrset_to_brset,mbrset,brset,sex,100,anchored,100,0.6201396079420993,0.5962291230619617,0.7613594989642408,0.02391048488013763,-0.035355286267315426,0.07900221591657915,0.14479761672853805,0.022218649807753968
vits16,mbrset_to_brset,mbrset,brset,sex,200,scratch,100,0.6260712649425426,0.5963466491234124,0.7614713052274148,0.02972461581913023,-0.019179288729707363,0.08364826693059868,0.18001318834183316,
vits16,mbrset_to_brset,mbrset,brset,sex,200,anchored,100,0.6367267660180704,0.5963466491234124,0.7614713052274148,0.040380116894658,-0.01313929748909734,0.0926598732446038,0.24454323083782775,0.010655501075527764
