backbone,direction,source,target,attribute,round,value,n_splits,mean,sd,minimum,maximum
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,2,auroc,10,0.5486452931234781,0.011087036446937495,0.5329769455489469,0.565863517407058
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,3,auroc,10,0.5444136923667895,0.013227803997785963,0.5279955407088844,0.5657472976574487
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,4,auroc,10,0.5406941527930313,0.016159426297640386,0.520842075096628,0.5655570403263862
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,5,auroc,10,0.537715811673597,0.018525327872542553,0.5142512717661154,0.5649534794279375
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,6,auroc,10,0.5356436578789289,0.019987072193083058,0.5113525458426236,0.5646921016778118
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,7,auroc,10,0.5345353987154218,0.02057516282494021,0.5107152625469488,0.5646208062290052
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,8,auroc,10,0.533717058818862,0.021081472250713093,0.5094613494653192,0.5642338738096228
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,9,auroc,10,0.5332193500748893,0.021360503088701587,0.508502594874289,0.563886731485237
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,10,auroc,10,0.5326560810233686,0.021811883308900885,0.5078369567601855,0.5634660766686286
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,0,auroc,10,0.5513952662611794,0.039040626458174556,0.5056593938779983,0.588377587875079
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,1,auroc,10,0.5506379884762806,0.04282845231896058,0.49909654371115864,0.596746058491042
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,2,auroc,10,0.5491237430173372,0.04617036588012158,0.4923471101803192,0.6032067012888207
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,3,auroc,10,0.5475679556252041,0.04852922325884,0.48573619283106406,0.6043732349523876
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,4,auroc,10,0.5463552671294898,0.05121373402710569,0.4791349664460055,0.6060577829554805
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,5,auroc,10,0.546355900272484,0.0532649877877373,0.48041391529425387,0.6082678396437446
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,6,auroc,10,0.546090923468776,0.05553325886295487,0.47005207794946435,0.606687695628264
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,7,auroc,10,0.546183349424641,0.057441972914778816,0.4608004374630451,0.6074301526985847
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,8,auroc,10,0.5462427873383805,0.059015185908849126,0.45231102361390785,0.606629291417372
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,9,auroc,10,0.5466181377636459,0.060714965530832575,0.44340412302717813,0.6077779937068171
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,10,auroc,10,0.5478062370528719,0.06277301080184043,0.43713665344905295,0.6092116103436441
