backbone,direction,source,target,attribute,split_index,k,draw,method,auroc,best_C,n_heldout,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,10,scratch,0.525621829151241,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,10,anchored,0.6086000274235569,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,10,target_local,0.7326943644590702,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,11,source_readout,0.6164788153023448,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,11,scratch,0.5738927738927739,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,11,anchored,0.6249938296997121,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,11,target_local,0.7316358151652269,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,12,source_readout,0.6190072672425613,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,12,scratch,0.5279089537913068,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,12,anchored,0.6065103523927053,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,12,target_local,0.7351103798162621,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,13,source_readout,0.6193774852598383,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,13,scratch,0.4509584533113945,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,13,anchored,0.5658412176059235,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,13,target_local,0.7388399835458658,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,14,source_readout,0.6152145893322363,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,14,scratch,0.5863896887426299,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,14,anchored,0.638083093377211,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,14,target_local,0.7292280268750857,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,15,source_readout,0.6198025503907856,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,15,scratch,0.47159467982997394,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,15,anchored,0.5683367612779378,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,15,target_local,0.7309447415329768,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,16,source_readout,0.6236774989716166,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,16,scratch,0.5549814890991361,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,16,anchored,0.6220348279171808,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,16,target_local,0.7310352392705334,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,17,source_readout,0.6202797202797202,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,17,scratch,0.5578774167009461,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,17,anchored,0.6172329631153162,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,17,target_local,0.7335965994789524,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,18,source_readout,0.6167722473604826,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,18,scratch,0.5667461949814891,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,18,anchored,0.621541203894145,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,18,target_local,0.7325051419169066,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,19,source_readout,0.6210283833813245,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,19,scratch,0.5456903880433293,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,19,anchored,0.6134978746743452,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,19,target_local,0.7352474976004387,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,0,source_readout,0.620373245916724,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,0,scratch,0.5777432712215321,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,0,anchored,0.6493903841729929,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,0,target_local,0.7329077524729698,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,1,source_readout,0.6213969404186795,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,1,scratch,0.5855475040257649,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,1,anchored,0.6214026915113872,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,1,target_local,0.7312514377731768,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,2,source_readout,0.6228289625028756,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,2,scratch,0.5402317690361169,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,2,anchored,0.6031429721647114,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,2,target_local,0.7364130434782609,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,3,source_readout,0.6174344375431332,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,3,scratch,0.5500345065562458,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,3,anchored,0.6296152518978606,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,3,target_local,0.7355561306648263,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,4,source_readout,0.6198757763975156,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,4,scratch,0.5973717506326203,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,4,anchored,0.6470094317920404,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,4,target_local,0.7349723947550033,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,5,source_readout,0.6173682999769956,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,5,scratch,0.5923539222452266,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,5,anchored,0.639915458937198,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,5,target_local,0.7357229123533471,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,6,source_readout,0.6174890729238556,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,6,scratch,0.6067977915804001,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,6,anchored,0.6444128134345526,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,6,target_local,0.7316741430871865,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,7,source_readout,0.6165085116172073,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,7,scratch,0.4956924315619968,0.01,1237,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,50,7,anchored,0.5753853232114101,0.01,1237,source-training-image-standardised-patient-mean-coordinates
