backbone,control_index,best_C,n_images,n_events,prevalence,auroc,auprc,brier,ece,calibration_intercept,calibration_slope,threshold,sensitivity,specificity,ppv,fpr,fnr,sex_age_sensitivity_gap,sex_age_ece_gap,analysis_unit,fairness_analysis_unit,patient_outcome_aggregation,patient_score_aggregation
convnext_tiny,31,0.01,4884.0,862.0,0.17649467649467648,0.7481773678642177,0.528354239856847,0.14748217982959078,0.14616341239424066,1.0655494512539971,0.5643294958925056,0.01625765386347269,0.58584686774942,0.8294380905022377,0.42401343408900083,0.1705619094977623,0.41415313225058004,0.23863636363636365,0.16493761717828323,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,32,0.01,4884.0,862.0,0.17649467649467648,0.7471150551318098,0.5263408844790775,0.14744870877542054,0.1460052020379653,1.046273970424358,0.561046215101593,0.016472553580371682,0.5823665893271461,0.8284435604177026,0.4211409395973154,0.17155643958229738,0.41763341067285387,0.26388888888888884,0.14700589643328985,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,33,0.01,4884.0,862.0,0.17649467649467648,0.7487274168407864,0.5287022284703365,0.14737101480398826,0.14597662015693358,1.0680472127761107,0.5662941468254317,0.01609075395121841,0.5893271461716937,0.8249627051218299,0.41914191419141916,0.1750372948781701,0.4106728538283063,0.23863636363636365,0.16424135800566603,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,34,0.01,4884.0,862.0,0.17649467649467648,0.7469187738897779,0.526018429226708,0.14765371839306884,0.1462708608838974,1.0412376572397837,0.5579477573003906,0.016062354656765185,0.5846867749419954,0.8244654400795625,0.41652892561983473,0.17553455992043754,0.4153132250580046,0.23863636363636365,0.15802055014152694,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,35,0.01,4884.0,862.0,0.17649467649467648,0.7472752817739093,0.5271709518495284,0.14748566783258774,0.1461096884896768,1.0477517045882712,0.5605273658222861,0.01625279607596843,0.5846867749419954,0.8284435604177026,0.4221105527638191,0.17155643958229738,0.4153132250580046,0.23863636363636365,0.149003236118411,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,36,0.01,4884.0,862.0,0.17649467649467648,0.7484767652620564,0.5290403923113557,0.14735781454556207,0.14606565897374282,1.0651957008217807,0.564419426181574,0.016293407518043652,0.58584686774942,0.8296867230233714,0.42436974789915966,0.17031327697662857,0.41415313225058004,0.26388888888888884,0.16476573562399308,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,37,0.01,4884.0,862.0,0.17649467649467648,0.7482442852016923,0.5284904637026029,0.14747725160089417,0.14617698876956606,1.065625820110882,0.5640959297437944,0.016126188129954425,0.5846867749419954,0.8286921929388364,0.4224643755238894,0.17130780706116355,0.4153132250580046,0.23863636363636365,0.1651441961422686,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,38,0.01,4884.0,862.0,0.17649467649467648,0.7481915012673913,0.5282151271004537,0.14741174628694675,0.14605460285252342,1.0613409622961472,0.5639960504458567,0.016241421002891512,0.58584686774942,0.8281949278965689,0.4222408026755853,0.1718050721034311,0.41415313225058004,0.23863636363636365,0.16465167236014902,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,39,0.01,4884.0,862.0,0.17649467649467648,0.7474118565984532,0.5275128070324088,0.14755167530190547,0.14622296179429825,1.049463915735995,0.5599829256452942,0.016288642286968746,0.58584686774942,0.8289408254599702,0.42330259849119867,0.17105917454002983,0.41415313225058004,0.23863636363636365,0.15029031486246328,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,40,0.01,4884.0,862.0,0.17649467649467648,0.7481335254707,0.5282449529081255,0.14740219079060804,0.14603603876348514,1.0620066027024084,0.5646205458898236,0.01624029475797563,0.5881670533642691,0.8276976628543014,0.4225,0.17230233714569865,0.4118329466357309,0.23863636363636365,0.16472472855037096,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,41,0.01,4884.0,862.0,0.17649467649467648,0.7484285963165467,0.5283277150029555,0.14730304875986486,0.14587775925238797,1.0598213792490576,0.5646345092258012,0.016223732481174404,0.5870069605568445,0.8274490303331675,0.4216666666666667,0.17255096966683248,0.41299303944315546,0.23863636363636365,0.16387211504740581,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,42,0.01,4884.0,862.0,0.17649467649467648,0.7489016326676597,0.5291497234541187,0.14713009250365533,0.1457002659457413,1.0642718652638763,0.5668882876934817,0.01626268979596319,0.5893271461716937,0.8244654400795625,0.4184514003294893,0.17553455992043754,0.4106728538283063,0.21590909090909094,0.16323191549616206,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,43,0.01,4884.0,862.0,0.17649467649467648,0.7480482923964599,0.5281969668927337,0.14707917587793173,0.14552115617371875,1.0421201697200464,0.563156940404775,0.016132360088628717,0.5928074245939675,0.8202386872202884,0.4141004862236629,0.17976131277971164,0.4071925754060325,0.21590909090909094,0.1464022929913605,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,44,0.01,4884.0,862.0,0.17649467649467648,0.7480239194869056,0.5283070307861302,0.14739724421366424,0.14602498645091283,1.0597736042994574,0.5644656861656501,0.01605755219676068,0.5893271461716937,0.8239681750372949,0.41776315789473684,0.17603182496270509,0.4106728538283063,0.23863636363636365,0.14890629623474252,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,45,0.01,4884.0,862.0,0.17649467649467648,0.747745866412227,0.5276968962746377,0.1477293956506476,0.14647753241546838,1.0655755446898048,0.5622315797953163,0.01623480318504913,0.5846867749419954,0.8319244157135753,0.4271186440677966,0.16807558428642466,0.4153132250580046,0.23863636363636365,0.1503327142505989,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,46,0.01,4884.0,862.0,0.17649467649467648,0.7493778418235668,0.5290206680224568,0.14705000389330683,0.14558363009007524,1.0702532518289016,0.5686285247899763,0.01638825700211982,0.5835266821345708,0.8267031327697663,0.4191666666666667,0.17329686723023374,0.4164733178654292,0.23863636363636365,0.14673592820099507,patient,patient,max_image_outcome,max_calibrated_image_probability
