backbone,setting,attribute,metric,method,n_splits,mean_method_minus_baseline,min_method_minus_baseline,max_method_minus_baseline,improved_splits,value_column,analysis_unit,patient_outcome_aggregation,patient_score_aggregation
convnext_tiny,internal_test,sex_age,auroc,age_erased,5,0.00030584422108255184,-0.00015837820715880468,0.0013212598627898586,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,auroc,joint_erased,5,0.0028833117305549828,-0.0004028780682446831,0.013868300893828178,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,auroc,sex_erased,5,0.001947674852456216,-0.0015523033556010812,0.01242190415331379,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,brier,age_erased,5,3.4520477887627075e-05,-8.39625952683623e-05,0.00018161694328602124,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,brier,joint_erased,5,-0.0001028395307047375,-0.0014017440963029412,0.0007638646115661132,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,brier,sex_erased,5,-0.0001667449341557964,-0.0015551239128787364,0.0006429414042017217,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,ece,age_erased,5,0.0006369211193013154,-0.00255252952517674,0.0055616251500717195,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,ece,joint_erased,5,0.0010742737411626214,-0.004464429975151701,0.010694540520851753,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,ece,sex_erased,5,0.0011917423571824557,-0.00484158796376229,0.00993817405544253,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,fnr,age_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,fnr,joint_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,fnr,sex_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,fpr,age_erased,5,-0.0016049869435720288,-0.006802721088435382,0.0021222679759264063,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,fpr,joint_erased,5,-0.00040203739804463013,-0.006802721088435382,0.0054274482192102624,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,fpr,sex_erased,5,0.0006609039024364494,-0.006802721088435382,0.00877192982456143,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,ppv,age_erased,5,9.961548355630067e-05,-0.0010868580744497758,0.002371717553600286,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,ppv,joint_erased,5,-0.0012981954266774814,-0.006129184347006128,0.0024984419154005094,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,ppv,sex_erased,5,-0.0006906846846719466,-0.006635769959974724,0.0024984419154005094,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,sensitivity,age_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,sensitivity,joint_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,sensitivity,sex_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
vits16,external_full,age_group,auprc,age_erased,5,-0.000406277123054033,-0.0009601554717318939,0.0005837607648666032,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
