backbone,direction,source,target,split_index,attribute,outcome,method,status,auroc,target_local_auroc,transport_penalty,best_C,source_train_n,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,1,age65,1,ot_entropic,complete,0.632336969353544,0.8069603815460169,0.1746234121924729,0.01,238,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0,unaligned,complete,0.7370072936064556,0.9179531943847588,0.1809459007783032,0.01,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0,mean_variance,complete,0.7354057740056343,0.9179531943847588,0.18254742037912441,0.01,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0,coral,complete,0.653306146445113,0.9179531943847588,0.2646470479396458,0.01,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0,subspace,complete,0.6688668349806618,0.9179531943847588,0.24908635940409696,0.01,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0,ot_gaussian,complete,0.6890428782886883,0.9179531943847588,0.2289103160960705,0.01,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0,ot_entropic,complete,0.7041445829155326,0.9179531943847588,0.21380861146922614,0.01,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,1,unaligned,complete,0.4506118399294455,0.805230955793187,0.35461911586374156,0.1,179,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,1,mean_variance,complete,0.4699867710285526,0.805230955793187,0.33524418476463447,0.1,179,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,1,coral,complete,0.6043159519347371,0.805230955793187,0.20091500385844996,0.1,179,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,1,subspace,complete,0.5199812589571161,0.805230955793187,0.28524969683607093,0.1,179,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,1,ot_gaussian,complete,0.6146786462352553,0.805230955793187,0.1905523095579318,0.1,179,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,1,ot_entropic,complete,0.6058868922941241,0.805230955793187,0.19934406349906297,0.1,179,381,193,188,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0,unaligned,complete,0.6262672641786657,0.7330939612106964,0.10682669703203063,0.1,4771,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0,mean_variance,complete,0.6159041654422568,0.7330939612106964,0.11718979576843958,0.1,4771,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0,coral,complete,0.6226904569497502,0.7330939612106964,0.11040350426094614,0.1,4771,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0,subspace,complete,0.5181916691154863,0.7330939612106964,0.21490229209521006,0.1,4771,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0,ot_gaussian,complete,0.62280983690861,0.7330939612106964,0.11028412430208634,0.1,4771,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0,ot_entropic,complete,0.6057476858654129,0.7330939612106964,0.12734627534528342,0.1,4771,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,1,unaligned,complete,0.5497792805485113,0.6536583075044614,0.10387902695595008,10.0,333,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,1,mean_variance,complete,0.5440030055414671,0.6536583075044614,0.10965530196299433,10.0,333,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,1,coral,complete,0.5465858927397389,0.6536583075044614,0.10707241476472251,10.0,333,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,1,subspace,complete,0.5092514323283555,0.6536583075044614,0.14440687517610595,10.0,333,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,1,ot_gaussian,complete,0.5554146707992862,0.6536583075044614,0.09824363670517522,10.0,333,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,1,ot_entropic,complete,0.5761247299708838,0.6536583075044614,0.07753357753357759,10.0,333,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0,unaligned,complete,0.589828472455023,0.7624527448347937,0.17262427237977074,0.1,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0,mean_variance,complete,0.5897841391071142,0.7624527448347937,0.1726686057276795,0.1,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0,coral,complete,0.5770441384701176,0.7624527448347937,0.18540860636467615,0.1,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0,subspace,complete,0.5501474944168323,0.7624527448347937,0.21230525041796144,0.1,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0,ot_gaussian,complete,0.5847897209252861,0.7624527448347937,0.1776630239095076,0.1,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0,ot_entropic,complete,0.5646834342541175,0.7624527448347937,0.19776931058067626,0.1,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,1,unaligned,complete,0.626284605704698,0.7036886535234899,0.07740404781879184,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,1,mean_variance,complete,0.6249606753355705,0.7036886535234899,0.07872797818791932,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,1,coral,complete,0.5925309354026845,0.7036886535234899,0.11115771812080533,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,1,subspace,complete,0.5338716442953021,0.7036886535234899,0.16981700922818777,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,1,ot_gaussian,complete,0.6044332005033557,0.7036886535234899,0.09925545302013417,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,1,ot_entropic,complete,0.5288118708053691,0.7036886535234899,0.1748767827181208,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,0,unaligned,complete,0.5931857611671997,0.88333855897661,0.2901527978094103,0.1,3178,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,0,mean_variance,complete,0.5597834493426141,0.88333855897661,0.3235551096339958,0.1,3178,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,0,coral,complete,0.5970694592504338,0.88333855897661,0.2862690997261762,0.1,3178,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,0,subspace,complete,0.6555088731422838,0.88333855897661,0.22782968583432617,0.1,3178,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,0,ot_gaussian,complete,0.6046654543174265,0.88333855897661,0.2786731046591835,0.1,3178,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,0,ot_entropic,complete,0.6324700570640246,0.88333855897661,0.25086850191258536,0.1,3178,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1,unaligned,complete,0.5946073570382961,0.8149407375926713,0.22033338055437512,0.1,228,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1,mean_variance,complete,0.602162723709685,0.8149407375926713,0.21277801388298623,0.1,228,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1,coral,complete,0.575624498276432,0.8149407375926713,0.23931623931623924,0.1,228,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1,subspace,complete,0.5848798224488831,0.8149407375926713,0.23006091514378813,0.1,228,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1,ot_gaussian,complete,0.5573499551400104,0.8149407375926713,0.25759078245266087,0.1,228,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1,ot_entropic,complete,0.576427255985267,0.8149407375926713,0.23851348160740427,0.1,228,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0,unaligned,complete,0.7527968772382181,0.9208337809769374,0.16803690373871927,0.1,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0,mean_variance,complete,0.7436932984768181,0.9208337809769374,0.17714048250011927,0.1,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0,coral,complete,0.6231891324070095,0.9208337809769374,0.2976446485699279,0.1,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0,subspace,complete,0.6329182184978274,0.9208337809769374,0.28791556247911,0.1,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0,ot_gaussian,complete,0.6396403332855847,0.9208337809769374,0.2811934476913527,0.1,591,5268,3120,2148,source-training-image-standardised-patient-mean-coordinates
