backbone,direction,source,target,attribute,evaluation,method,value,n_splits,mean,sd,minimum,maximum
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,target_external,ot_entropic,auroc,5,0.5604988013671324,0.007584379663422807,0.5482961340767869,0.5686330269865147
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,source_internal,unaligned,auroc,5,0.6850878136922584,0.02713331114619561,0.648881239242685,0.713719163809908
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,target_local_cv,target_local,auroc,5,0.7357276779900798,0.005000656773481902,0.728663057475567,0.7395738865891277
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,target_external,unaligned,auroc,5,0.5528033463819952,0.011932566362680664,0.5319551802502972,0.562424241292737
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,target_external,mean_variance,auroc,5,0.560731219425221,0.01525031699026578,0.5339653676814813,0.5713056588749649
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,target_external,coral,auroc,5,0.5614707259253588,0.0092944716577883,0.5482641016796788,0.5709547242394724
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,target_external,subspace,auroc,5,0.49512287788104786,0.009175289402895588,0.4840792945414524,0.5048307042310056
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,target_external,ot_gaussian,auroc,5,0.5654537377718387,0.010323647019935022,0.5532082251843997,0.5744107448659108
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,target_external,ot_entropic,auroc,5,0.5427708048521046,0.005539571369623003,0.5341322001985538,0.5480722690809259
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,source_internal,unaligned,auroc,5,0.6664549819472848,0.018242168905282335,0.6478211793879067,0.6925982435803069
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,target_local_cv,target_local,auroc,5,0.7106510888689265,0.01050304057211233,0.7005065619169621,0.7219198324571707
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,unaligned,auroc,5,0.5622332310996061,0.02290531288360457,0.5341411038053271,0.5911093865444823
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,mean_variance,auroc,5,0.559777495468583,0.024852925263192566,0.5303804264050049,0.5876702935720323
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,coral,auroc,5,0.5852214680196246,0.02391821841731133,0.5558307774901532,0.6160600857912837
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,subspace,auroc,5,0.4996614061478438,0.02951093733292995,0.48071290749530915,0.5520328919742095
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,ot_gaussian,auroc,5,0.5840844943151315,0.02801617577148398,0.5542467748536924,0.6226751572042886
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,ot_entropic,auroc,5,0.5517931654007049,0.030202232551314847,0.5235447640208153,0.5920661666604653
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,source_internal,unaligned,auroc,5,0.8986112582473573,0.00886996124753482,0.8871348180076628,0.9117335953734071
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,target_local_cv,target_local,auroc,5,0.8555805696604253,0.0014811061373293086,0.8538137694382735,0.8573096834338305
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,target_external,unaligned,auroc,5,0.5611403125991747,0.025959258320206888,0.5314582672167566,0.6000128927324659
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,target_external,mean_variance,auroc,5,0.5478627816566168,0.032056525285982684,0.5048744446207554,0.5911565772770548
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,target_external,coral,auroc,5,0.5338949936528087,0.007710191890946877,0.5273375515709298,0.5467187995874325
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,target_external,subspace,auroc,5,0.6309014003490956,0.07400154838910868,0.547420461758172,0.7119044549349413
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,target_external,ot_gaussian,auroc,5,0.5311780982227864,0.007859897250458,0.5244416455093621,0.5443187678514757
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,target_external,ot_entropic,auroc,5,0.520120100761663,0.00821760151108873,0.5085959814344653,0.5298466756585212
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,source_internal,unaligned,auroc,5,0.8315136085711698,0.0376690389445544,0.7807795046138903,0.8686427835364006
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,target_local_cv,target_local,auroc,5,0.9014234088212068,0.004643065233918973,0.8960560101550968,0.9052925327373691
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,target_external,unaligned,auroc,5,0.5513952662611794,0.04140883756551926,0.5056593938779983,0.588377587875079
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,target_external,mean_variance,auroc,5,0.5465851884853772,0.04133834661602729,0.4991092065710423,0.5965802783968509
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,target_external,coral,auroc,5,0.5566544879242833,0.008663395061035889,0.5437089619969485,0.5666769347816198
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,target_external,subspace,auroc,5,0.5589777092317935,0.1630277664335685,0.35127380617658127,0.7445120715818548
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,target_external,ot_gaussian,auroc,5,0.5609363952300817,0.009437752285303637,0.5450363656661801,0.5688833735099172
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,target_external,ot_entropic,auroc,5,0.5971128679465286,0.012539835703901714,0.5820169558278099,0.6137420714991586
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,source_internal,unaligned,auroc,5,0.8693024754114413,0.012506490189302544,0.8564333010563655,0.8858185414215255
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,target_local_cv,target_local,auroc,5,0.8521134163757538,0.004491599285538835,0.8465318549666773,0.8569179427165978
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,unaligned,auroc,5,0.5684762773722628,0.03625270858619602,0.5117423040304665,0.6115692438908282
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,mean_variance,auroc,5,0.5695116629641384,0.034765933877723074,0.5133737305617265,0.6014385314185973
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,coral,auroc,5,0.5303777570612503,0.010410527238922383,0.5161580649000317,0.541016244842907
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,subspace,auroc,5,0.631645211837512,0.07130693596734168,0.5482882418279911,0.7125614884163758
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,ot_gaussian,auroc,5,0.5272274674706442,0.01420412515527917,0.5084447397651539,0.542922881624881
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,ot_entropic,auroc,5,0.5301298198984449,0.02588489701854384,0.4943519914312917,0.563139677880038
