backbone,direction,source,target,attribute,outcome,method,value,n_splits,mean,sd,minimum,maximum
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,1,mean_variance,transport_penalty,5,0.0908032718120805,0.04836198187558695,0.044646602348993314,0.154192009228188
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,1,coral,transport_penalty,5,0.10943267617449655,0.03955619563707523,0.0730259018456374,0.1598940855704698
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,1,subspace,transport_penalty,5,0.11461828859060401,0.04358187759611702,0.07583106124161076,0.17301541526845643
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,1,ot_gaussian,transport_penalty,5,0.11353817114093956,0.043695285108812515,0.07335360738255048,0.1686897021812081
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,1,ot_entropic,transport_penalty,5,0.11936346476510062,0.05005816369718188,0.06543624161073824,0.17500786493288584
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,0,unaligned,transport_penalty,5,0.33349804560941443,0.03361746407703696,0.28935850003135377,0.36653079994147275
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,0,mean_variance,transport_penalty,5,0.3428289542442674,0.03764694017071624,0.3000271733450387,0.38361238268430836
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,0,coral,transport_penalty,5,0.31851424510357224,0.006376563084483878,0.30742250371020674,0.3226897431073765
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,0,subspace,transport_penalty,5,0.22364917121297623,0.07553360151790108,0.1402060993708324,0.3088856838276792
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,0,ot_gaussian,transport_penalty,5,0.3214531468823812,0.006170035536440296,0.31052026504462693,0.32484688865199296
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,0,ot_entropic,transport_penalty,5,0.3294839154699943,0.006745429334823832,0.3216278923935536,0.33534416086620256
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,1,unaligned,transport_penalty,5,0.17014685743967514,0.02776033834695407,0.12683571799593896,0.1960617651225386
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,1,mean_variance,transport_penalty,5,0.16437644614440194,0.024665548505713442,0.12471077111961082,0.1866175567833025
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,1,coral,transport_penalty,5,0.24649383765405863,0.018814489127956278,0.2252443688907777,0.2679321905841241
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,1,subspace,transport_penalty,5,0.11703262973981206,0.06305708971605266,0.02871039335127734,0.1903952401189971
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,1,ot_gaussian,transport_penalty,5,0.23386693110450016,0.017691248416772217,0.21211691929923981,0.2548991830759787
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,1,ot_entropic,transport_penalty,5,0.27167209708646173,0.03191968478428919,0.2377107238985693,0.3196392312414412
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,0,unaligned,transport_penalty,5,0.2537702931767177,0.02117805705196858,0.2254930048226137,0.2746930657021438
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,0,mean_variance,transport_penalty,5,0.2545958076684333,0.02517032395753913,0.21956530821754272,0.2793490068280571
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,0,coral,transport_penalty,5,0.330333375113403,0.012632803916656549,0.315690355966194,0.3454049384042399
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,0,subspace,transport_penalty,5,0.35658161438189373,0.17555643954628403,0.1607911951487372,0.5851735961896577
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,0,ot_gaussian,transport_penalty,5,0.3197934870839899,0.01604653811689763,0.2974640989829539,0.33938830993649427
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,0,ot_entropic,transport_penalty,5,0.29158615050374825,0.011253088457982606,0.2745095318244759,0.30039840280762065
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,1,unaligned,transport_penalty,5,0.22719656046742362,0.022487930821474572,0.19449344063499063,0.24807077499724395
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,1,mean_variance,transport_penalty,5,0.22660125675228748,0.023961380930345447,0.18594972990849956,0.2477400507110572
