backbone,attribute,target,direction,n_splits,statistic,method,estimate,ci_low,ci_high,p_value_above_zero,valid_replicates,coordinate_space
vits16,sex,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,ot_gaussian,-0.0017923745841876976,-0.007879103788509575,0.004788099933526882,0.7031484257871065,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,ot_entropic,-0.033875361553106595,-0.04543502803666744,-0.022404399248871706,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,target_local_auroc,target_local,0.8697115003173597,0.8492839182140851,0.8877717276830407,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,external_auroc,unaligned,0.6327376229768327,0.6037974442811405,0.6614466578682932,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,transport_penalty,unaligned,0.23697387734052697,0.20487030818454455,0.26908417695968373,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,external_auroc,mean_variance,0.59333197794351,0.5620609349905055,0.6228643392265449,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,transport_penalty,mean_variance,0.2763795223738497,0.24361386240189703,0.30957839232513507,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,external_auroc,coral,0.602458544906379,0.571513906837271,0.6336420187246562,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,transport_penalty,coral,0.26725295541098076,0.23167931046811333,0.30267128634302853,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,external_auroc,subspace,0.5059088384639797,0.49641645087342895,0.515789198370438,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,transport_penalty,subspace,0.36380266185337995,0.3415208943446319,0.3837984866344037,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,external_auroc,ot_gaussian,0.6038440177721358,0.5730670247480669,0.6334784799993595,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,transport_penalty,ot_gaussian,0.26586748254522385,0.23216138701357567,0.30131559968806315,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,external_auroc,ot_entropic,0.6207493652808633,0.5909189697230249,0.6496323109767189,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,transport_penalty,ot_entropic,0.24896213503649642,0.2165760042937912,0.28253759131042666,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,mean_variance,-0.039405645033322736,-0.04732580221971771,-0.032401585809794194,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,coral,-0.030279078070453797,-0.05969042064153741,-0.000357275621823658,0.9760119940029985,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,subspace,-0.12682878451285298,-0.15718852401672093,-0.09570528397444152,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,ot_gaussian,-0.0288936052046969,-0.059716795544735024,0.0015794461758406799,0.9685157421289355,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,ot_entropic,-0.011988257695969465,-0.0476318700997366,0.023667502841647526,0.7436281859070465,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,target_local_auroc,target_local,0.8687633886067916,0.8488986807656239,0.8871032712749,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,external_auroc,unaligned,0.6325179506505871,0.605182615531392,0.6593496902010141,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,transport_penalty,unaligned,0.23624543795620445,0.2074755383329426,0.2646511390867427,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,external_auroc,mean_variance,0.6322685258648049,0.60390504686126,0.6595366860210379,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,transport_penalty,mean_variance,0.2364948627419867,0.2073369818722389,0.26568964451831406,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
