backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,method,target_local_auroc,external_auroc,transport_penalty,n,n_negative,n_positive,coordinate_space
convnext_tiny,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,coral,0.7219198324571707,0.5988619632064891,0.12305786925068163,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,unaligned,0.738707606045854,0.562424241292737,0.1762833647531169,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,mean_variance,0.738707606045854,0.5713056588749649,0.16740194717088908,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,coral,0.738707606045854,0.5709547242394724,0.1677528818063816,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,unaligned,0.7219198324571707,0.5341411038053271,0.18777872865184364,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,mean_variance,0.7219198324571707,0.5303804264050049,0.1915394060521658,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,coral,0.7219198324571707,0.5726063221903885,0.1493135102667822,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,unaligned,0.8550534552523009,0.5314582672167566,0.3235951880355443,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,mean_variance,0.8550534552523009,0.5048744446207554,0.35017901063154555,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,coral,0.8550534552523009,0.5284383925737861,0.3266150626785148,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,unaligned,0.8960560101550968,0.5075416375507031,0.3885143726043937,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,mean_variance,0.8960560101550968,0.5085126721632092,0.38754333799188767,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,coral,0.8960560101550968,0.5557320890307589,0.34032392112433796,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.1,770,316,256,True,unaligned,0.8550534552523009,0.5694794311329736,0.2855740241193273,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.1,770,316,256,True,mean_variance,0.8550534552523009,0.5749092549984133,0.28014420025388764,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.1,770,316,256,True,coral,0.8550534552523009,0.541016244842907,0.3140372104093939,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,unaligned,0.7212633749887045,0.5554002264379607,0.1658631485507438,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,mean_variance,0.7212633749887045,0.5685559530327272,0.1527074219559773,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,coral,0.7212633749887045,0.6011981013230143,0.1200652736656902,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,unaligned,0.7395738865891277,0.5563355982960038,0.18323828829312394,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,mean_variance,0.7395738865891277,0.5675365100376057,0.17203737655152196,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,coral,0.7395738865891277,0.5659085000511087,0.173665386538019,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
