backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,evaluation,method,auroc,n,n_negative,n_positive,coordinate_space
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,target_external,mean_variance,0.6068354132312218,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,target_external,coral,0.5820898831408083,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,source_internal,unaligned,0.6817197433738788,1701,1036,665,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,target_local_cv,target_local,0.7367844746479846,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,target_external,unaligned,0.6046079593474759,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,target_external,mean_variance,0.606896258458202,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,target_external,coral,0.6163338312133566,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,source_internal,unaligned,0.908647089774415,1105,623,482,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,target_local_cv,target_local,0.8607411337670582,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,target_external,unaligned,0.6036377340526816,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,target_external,mean_variance,0.5433989209774674,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,target_external,coral,0.5942681886702634,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,source_internal,unaligned,0.8868664582950297,258,147,111,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,target_local_cv,target_local,0.9152691865585552,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,target_external,unaligned,0.6633113533651163,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,target_external,mean_variance,0.6636690145504014,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,target_external,coral,0.6202011637426659,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,source_internal,unaligned,0.8900847858375016,1105,623,482,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,target_local_cv,target_local,0.8681693311647096,1284,736,548,source-training-image-standardised-patient-mean-coordinates
